platform,author,date,text,link,language,id,is_sample,collected_at
youtube,Gondi Bhasha Sikhen (sample),2026-09-05,𑴤𑴫𑴦𑴱𑴤 𑴎,https://www.youtube.com/watch?v=UfSetAy1ysU,masaram_gondi,767239db6b42bc9f,yes,2026-09-11T06:10:55Z
telegram,Gondi News (sample),2026-09-06,सब् माने कुन् गौरव् अरु अधिकार् ना मांला ते जनंजात् सुतन्तर्ता अरु बराबर् ता हक् पुट्ताल। अवेन् भायि लेह्का माने मासि बेव्हार् कियाना आन्द।,https://t.me/s/sample/1,devanagari_gondi,d21c61f07902a758,yes,2026-09-11T06:10:55Z
facebook,Gondwana Dhamal (sample),2026-09-07,Sab maane aru bhayi — gondi bhasha mein gondvana ki sabse badi baat hai ki hamari apni masaram lipi hai. Koitor bhasha jeevan badhe!,https://www.facebook.com/sample,roman_gondi,cfb73068ed3c7303,yes,2026-09-11T06:10:55Z
instagram,@gondwana_gondi (sample),2026-09-08,"Jay seva jay gondwana! Saga janon, apni gondi bhasha seekho, koitor ki apni masaram lipi seh. #GondiBhasha #MasaramGondi",https://www.instagram.com/p/sample,roman_gondi,84371670f738c690,yes,2026-09-11T06:10:55Z
youtube,Hindi Tutorial Channel (sample),2026-09-09,Aaj hum baat karenge Hindi grammar ke baare mein. Yeh video aapke liye hai. Like aur subscribe karna na bhoolein.,https://www.youtube.com/watch?v=sample,other,8eab4632c451f506,yes,2026-09-11T06:10:55Z
youtube,गोंडी भाषा सिखें ajay gote,,की सेवा जोहार साथियों पिछले वीडियो में हमने 30 गोंडी भाषा के क्रियाओं के साधारण रूपों को जाना था इस वीडियो में भी हम उसी तरह 30 और क्रियाओं के साधारण रूपों का गोंडी भाषा में अनुवाद जानेंगे मैं हूं अजय गोटे और आप देख रहे हैं मेरा चैनल गोंडी भाषा सीखें अजय को टेप तो चलिए साथियों वीडियो शुरू करते हैं तो साथियों हमारा सबसे पहला हिंदी प्रक्रिया है मूत्र करना जिसे गोंडी भाषा में मुड़काना या फिर रुड़की ना कहते हैं इसी तरह अलग क्रिया है सोच करना जिसे गोंडी भाषा में पे लाना या फिर पहली ना कहते हैं बढ़ते हैं आगे अगली क्रिया है ओढ़ना जिसे गोंडी भाषा में मुरचा नाक या फिर मुझे ना कहते हैं साथियों हमारी अगली क्रिया है बिछाना जिसे गोंडी भाषा में तारा ना या फिर अपने कहते हैं इसी तरह अगली क्रिया है बुलाना जिसे गोंडी भाषा में के आना या फिर के इतना कहते हैं अगर लक्ष्य है साथियों रखना जिसे गोंडी भाषा में ही रहना या फिर झुर्रियां कहते हैं चलिए आगे बढ़ते हैं अगला हिंदी का क्रिया है हमारा सब्जी का तड़का लगाना जिसे गोंडी भाषा में को इस खाना कहते हैं हमारी अगली सक्रिय है साथियों घूमना यह से गोंडी भाषा में बलियाना या फिर बोलिए ना कहते हैं इसी तरह इसी के जैसा अगली क्रिया है घूमना जिसे गोंडी भाषा में धैर्य ना कहते हैं हमारी अगली प्रिय है साथियों घर को लिप ना जिसे गोंडी भाषा में गुस्सा ना या फिर उसी ना कहते हैं है अगला प्रिय है साथियों डूबना जिसे गोंडी भाषा में मुंगाना या फिर आऊंगी ना कहते हैं इसी तरह डुबाना जिसे गोंडी भाषा में मुड़ाना या फिर मुड़ ही ना कहते हैं आगे बढ़ता है साथियों अगला हिंदी का क्रिया है हमारा झुकना जिसे गोंडी भाषा में मुरझाना या फिर मोर सिन्हा कहते हैं इसी तरह हिंदी की अगली क्रिया है बैठना जिसे गोंडी भाषा में उडाना या फिर वो दिन कहते हैं हमारी अगली क्रिया है बिठाना या फिर स्थापित करना जिसे गोंडी भाषा में हु खाना या फिर ही न कहते हैं हमारा अगला हिंदी का क्रिया है डरना जिसे गोंडी भाषा में वरियाना या फिर कि व रीना कहते हैं इसी तरह अगला क्रिया है डराना जिसे गोंडी भाषा में वह आना या फिर वह ना कहते हैं हमारा अगला हिंदी का कृत्य है बांधना जिसे गोंडी भाषा में दो ही ना या फिर दोहराना कहते हैं चलिए आगे बढ़ता है हमारा अगला हिंदी का क्रिया है सीखना जिसे गोंडी भाषा में करियाना या फिर करिए ना कहते हैं हमारा अगला हिंदी का क्रिया है सिखाना जिसे गोंडी भाषा में कराना या फिर कर ही ना कहते हैं इसी तरह अगला हिंदी का क्रिया है पकड़ना जिसे गोंडी भाषा में बयाना या फिर बयाना कहते हैं हमारा अगला हिंदी का क्रिया है पहुंचना जिसे गोंडी भाषा में हवा ना या कि अभी ना कहते हैं हमारा अगला हिंदी का क्रिया है भरना जिसे गोंडी भाषा में निशाना या फिर निहिटा कहते हैं इसी तरह अगला क्रिया है खुद लाना जिसे गोंडी भाषा में ताड़का ना या फिर ताकि ना कहते हैं साथियों अभी तक अगर आपने हमारे वीडियो को लाइक नहीं किया है तो लाइक कर दीजिए चैनल पर नए हैं तो सब्सक्राइब कर दीजिए और अगर आपका कोई सुझाव है तो कमेंट करके जरूर बताएं चलिए साथियों आगे बढ़ते हैं हमारा अगला हिंदी का क्रिया है मांगना जिसे गोंडी भाषा में तहलका ना या फिर बल्कि ना कहते हैं हमारा अगला हिंदी प्रक्रिया है ढूंढ ना या फिर ओढ़ना जिसे गोंडी भाषा में मुरचा ना या फिर मुझे ना कहते हैं इसी तरह अगला कर लिया है पीड़ा होना या दर्द होना जिसे गोंडी भाषा में नौ आना या फिर नो इतना कहते हैं हमारा अगला हिंदी ककरिया है जलाना जिसे गोंडी भाषा में मांस आना या फिर मासी ना कहते हैं अ गलत किया है साथियों सुलगाना जिसे गोंडी भाषा में निर्णय आना या फिर नींद ही ना कहते हैं इसी तरह हमारा अगला लक्ष्य है उतारना जिसे गोंडी भाषा में रेहाना या फिर रहना कहते हैं अपने साथियों अगर आपने इस वीडियो का पहला भाग नहीं देखा है तो वीडियो के डिस्क्रिप्शन में सबसे पहले इस वीडियो के पहले पार्ट का लिंक दिया गया है आप वहां से देख सकते हैं इसी तरह अगर आपको और भी गोंडी भाषा सीखने से जुड़े वीडियोस देखना है तो उसी लिंक के नीचे और भी वीडियोस के लिंक हैं उन्हें क्लिक करके आप देख सकते हैं तो साथियों वीडियो को ज्यादा से ज्यादा शेयर कीजिए और अपने सुझाव कमेंट करिए मिलता हूं आपके साथ एक और नए वीडियो के साथ में अगले वीडियो में तब तक के लिए सेवा जोहार,https://www.youtube.com/watch?v=UfSetAy1ysU,possible_gondi,3efe3ac816fa612c,,2026-09-11T06:11:17Z
youtube,गोंडी भाषा सिखें ajay gote,,की सेवा जोहार साथियों मैं अजय गोटे लेकर आया हूं आप सभी के लिए गोंडी भाषा सीखने के लिए एक और नया वीडियो साथियों अगर आपको गोंडी भाषा सीखने से जुड़े वीडियोस देखना पसंद है तो इस वीडियो के डिस्क्रिप्शन में लिंक दिया गया है जिसमें 100 से भी ज्यादा वीडियोस हैं आप जाकर देख सकते हैं साथियों आज की वीडियो में रोजाना उपयोग किए जाने वाले साधारण से साधारण वाक्यों को हम गोंडी भाषा में सीखने का प्रयास करेंगे तो चलिए साथियों वीडियो शुरू करते हैं तो साथियों हमारा सबसे पहला हिंदी का वाक्य है मुझे परेशान मत करो जिसे गोंडी भाषा में नाखून कंधे के नमः इस तरह से कहते हैं इस वाक्य में मुझे क्वांटिटी भाषा में नाखून परेशान करना को केंद्रित किया ना और मत करो को गोंडी भाषा में के मां को आ गया है पड़ता है साथियों अगला हिंदी का वाक्य है जाते समय मुझे आवाज देना जिसे गोंडी भाषा में अत्यधिक बेरा नाखून लेंगे कि इस तरह से कहते हैं इस वाक्य में जाते समय के लिए अत्यधिक बेरा मुझे के लिए नाखून आवाज देना के लिए लेंगे कि इनको उनकी शब्दों का उपयोग किया गया है हमारा तीसरा हिंदी का वाक्य है साथियों मैं कहां गलती किया बताओ जिसे गोंडी भाषा में नन्ना बेगार चुकता नहीं वहा इस तरह से कहते हैं इस वाक्य में मैं के लिए नन्ना कहां के लिए बेग का यह गलती किया के लिए चुकता उन और बताओ के लिए वे हुआ था इन गोंडी शब्दों का उपयोग किया गया है कि हमारा चौथा हिंदी का वाक्य है तुम मुझे जानते नहीं हो जिसे गोंडी भाषा में कहें तो नुकसान फूल हुई इस तरह से कहते हैं इस वाक्य में तुम के लिए नीमा मुझे के लिए नाखून जानते नहीं हो के लिए उन्हें भी इन कुंडियों शब्दों का उपयोग किया गया है पांचवां यह साथियों हमारा आइए बैठिए जिसे गोंडी भाषा में व राहु वैद्य कहते हैं आइए के लिए वगैरह और बैठिए के लिए उदार इन गोंडी शब्दों का उपयोग किया गया है हमारा छट वाक्य है साथियों हिंदी का सब लोग एक जैसे नहीं होते जिसे गोंडी भाषा में कहें तो सपोलों कुंडली लहर अमन और इस तरह से कहते हैं इस वाक्य में सब लोग के लिए सवालों कुर्क एक जैसे के लिए उंडेल झाल नहीं होते के लिए मंनोरजक इन गोंडी शब्दों का उपयोग किया गया है आगे बढ़ते हैं साथियों अगला हिंदी का वाक्य है हमारा मेरा साथ दोगे क्या आप इस वाक्य को गोंडी भाषा में नौवां संग्रह एक की भारी मांग या फिर नीमा इस तरह से कहते हैं इस वाक्य में मेरा साथ के लिए नौवां संग दोगे क्या के लिए एक ही बार आपके लिए निर्माण इन गोंडी शब्द का उपयोग किया गया है हमारा आवाज हिंदी का वाक्य है साथियों आप बहुत अच्छे हो जिसे गोंडी भाषा में कहें तो हिमालय शोभित और मंथन इस तरह से कहते हैं कि इस वाक्य में आपके लिए रिमाइंड बहुत अच्छे हो के लिए vle शुरुआत और मंथन इस तरह से गोंडी शब्दों का उपयोग किया गया है साथियों सोबत और पूर्व लिंग के लिए उपयोग किया जाता है और स्त्रीलिंग के लिए शोभा बढाता उपयोग किया जाता है आगे बढ़ते हैं साथियों अगला हिंदी का वाक्य है हमारा उसकी बातें मुझे समझ नहीं आती जिसे गोंडी भाषा में कहें तो होने पर लोग नाखून करें भाइयों इस तरह से कहते हैं कि इस वाक्य में उसकी के लिए ओ न की बातें मुझे के लिए फलों नाखून समझ नहीं आती के लिए करें मां क्यों इन गोंडी शब्दों का उपयोग किया गया है हमारा दसवां हिंदी का वाक्य है साथियों आपको मुझसे क्या काम है जिसे गोंडी भाषा में कहें तो निकलना व से बात अद्भुत तो ममता या फिर निकलना व से बात अद्भुत तो मंदा इस तरह से कहते हैं इस वाक्य में आपको मुझसे के लिए निक्कू नौवां से क्या काम है के लिए बात अद्भुत तो मंदा इन गोंडी शब्दों का उपयोग किया गया है साथियों अभी तक अगर आपने हमारे चैनल को सब्सक्राइब नहीं किया है तो सब्सक्राइब कर लीजिए यह वीडियो पसंद आए तो लाइक कर दीजिए और ज्यादा से ज्यादा ऐसे लोगों तक शेयर कीजिए जिन्हें गोंडी भाषा जानने-सुनने सीखने में रुचि है लुट तो साथियों मिलता है कल फिर से एक बार नए गोंडी शब्दों और वाक्यों के साथ में नए वीडियो के साथ तब तक के लिए सेवा जोहार अ,https://www.youtube.com/watch?v=oQzrQdhCmcs,possible_gondi,d4faa67c358e7b03,,2026-09-11T06:11:20Z
youtube,Koytur Technology,,कि सपोच सकून से ज्वाइन तो चलिए सर्जन आज जान लेते हैं गोंडी भाषा में अभिवादन ग्रीटिंग्स इन गोंडी लैंग्वेज वैसे तो गोंडी में किसी भी समय अभिवादन करने के लिए दो शब्दों को प्रयोग में ला सकते हैं सेवा सेवा जय सेवा सेवा जोहार फिर भी अगर अंग्रेजी अभिवादन शब्दों की नकल करना हो तो या अलग-अलग बोलना हो तो इस तरह से बोल सकते हैं कि एक तरफ रहेगा हिंदी फिर इंग्लिश उसके बाद गोंडी को सुप्रभात अर्थात गुड मॉर्निंग जी मैं इंग्लिश में होगा गुड मॉर्निंग और गोंडी में होगा इनको साधे शुभ दोपहर और इंग्लिश में इसका होगा गुड आफ्टरनून और गोंडी में होगा निको दूर रहते शुभ संध्या है और इंग्लिश में इसका यू गुड इवनिंग और गोंडी भाषा में निक्को पार्क उन पर यानि को मिला पे शुभ रात्रि अर्थात इंग्लिश में इसका यू गुड नाइट और गोंडी भाषा में होगा निक्को नरका है तू सज्जन वीडियो अगर पसंद आए तो लाइक जरूर करें क्योंकि आपका लाइक हमारे लिए प्रेरणा का कार्य करते हैं सर्जन है और वीडियो को अपने परिवार सज्जन और मित्रों के साथ शेयर जरूर करें और नीचे कमेंट करके बताएं कि आपको किस प्रकार के वीडियो चाहिए और अपना सुझाव जरूर दें अगर चैनल पर पहली बार आए तो ऐसे वीडियो देखने और सीखने के लिए हमारे YouTube चैनल कोई टू टेक्नोलॉजी को सब्सक्राइब कर लीजिए और साथ ही बेल आइकॉन बटन को भी दबा दीजिए ताकि हमारे नेक्स्ट वीडियो का नोटिफिकेशन सूचक अर्थात सूचना आप तक पहुंच पाए हैं मैं इसी तरह हमारी गोंडी भाषा लिपि से संबंधित नई-नई जानकारी आपको मिलती रहेगी कोई तो टेक्नोलॉजी YouTube चैनल में आप सभी निरंतर जुड़े रहे एवं हमारी गोंडी भाषा लिपि को सीखने और सिखाने की कोशिश करते रहे सेवा जौनपुर डुबो हर सादर सेवा सदन में,https://www.youtube.com/watch?v=T1IlI_hmO4U,possible_gondi,cb4145cfb91d84a3,,2026-09-11T06:11:22Z
youtube,Alive Breath,,अच्छा और सका जो ना मैं राहुल खन्ना की इस वीडियो में आपका स्वागत करता हूं सभी को पता है मोस्टली मेरा वीडियो देखने वाले 19 से युवक जो है जिनको गोंडी भाषा नहीं है वो सिख रहे हैं समझ रहे हैं कुछ कर रहे हैं कुछ करने की कोशिश कर रहा है और इन आप लोगों में मैं भी फर्स्ट नंबर पे हूं मुझे भी पुरी तरह से गुड मॉर्निंग नहीं आई है तो इसका मार्क क्या है एक्चुअली मैं ये बता डन आपको मुझे बहुत गुंडी आई है मैं कुछ भी बता डन और आप कुछ भी सुनेंगे तो ये सही रास्ता नहीं होगा सही रास्ता ये है की मैं आपका भाई हूं तो कुछ नहीं आता है तो मुझे भी मारना चाहिए और वो मैं मां रहा हूं तो सीधी बात यह है की मंडी भाषा ये हमारी लास्ट जेनरेशन है इसको अगर हम से नहीं करेंगे क्योंकि यह भाषा इतनी प्राचीन है की जहां पर संस्कृत अवेलेबल होते हैं उसमें भी कुछ गोल्डी मिलता है उसका भी उसको भी पढ़ा गया है की जी भाषा को लेकर बड़े-बड़े भारत के नहीं बाहर के भी साइंटिस्ट लोगों ने इतिहासकारों ने इसे प्रोटॉन भाषा का है ये सब सुनने में बड़ा लगता है लेकिन जब गोंडी समझना और बोलने की यह बड़ी आएगी तब अंकुश हो जाते हैं क्योंकि गोंडी ऐसा तो है नहीं भाई की एक इंजेक्शन ले लिया और भाषा आगे हमारे पुरखा बोलते हैं उनकी उनके पास जाते हैं सुनते बड़ा मजा आता है लेकिन एक्चुअली जब बोलने की बड़ी आई तो हम सब लोग पीछे र जाते हैं मुझे भी बहुत साड़ी जगह पे और एक्चुअली आपको बता डन मैं ऐसे ही गोंडवाना की जहां पे जगह है जहां पे गोल्डी को लेकर कोई और भाषा बोल ही नहीं जाति बोली जाति है वहां पे मैं गया हूं तो बहुत सारे लोगों ने मुझे डायरेक्टली मुंह पे कहां है रोल करना है पहले गली सिख के आओ सही है उनका भी सही है क्योंकि मैंने भाषा नहीं सखी है मेरी गलती है तो इसके ऊपर एक उपाय है हमारे पास क्योंकि हम आखिरी जेनरेशन है अगर हम नहीं सीखेंगे तो आगे की जेनरेशन तक ये भाषा पहुंचे की नहीं और इतना जाम गोंद गोंडी गोंडवाना करके चिल्ला रहा है वो सब खत्म हो जाएगा तो सबसे पहले हमें समझना है भाषा को मैं इस गोंडी भाषा को इसलिए समझना छह रहा हूं क्योंकि इनके अगर मैं भाषा सिख लेट हूं समझ लेट हूं तो और अंदर तक घुस सकता हूं इतिहास के और कब तक की हम किताबें पढ़ेंगे अब खुद रिसर्च करना है तो भाषा तो सीखनी पड़ेगी तो ये वीडियो इसलिए बन रहा है आज के बाद यहां पर गोंडी लर्निंग का जो प्लेलिस्ट है उसे प्लेलिस्ट में मैं एक एक वीडियो डालता हूं हो सकता है दो दिन के बाद 3 दिन के बाद ये हफ्ते के बाद डालो वो मैं नहीं बता सकता क्योंकि मैं टूर पे राहत हूं और आपको और मुझे खुद को मैं होमवर्क देता जाऊंगा आपको समझता जाऊंगा की क्या चीज है और फिर वही चीज आपको जो भी तीन-चार दिन का एक हफ्ते का गैप आएगा उसे गैप में मैंने जितना है पोर्शन दिया है उसको आपको रतन है रतन यानी पोपट जैसा रखना चाहिए समझना है तो ऐसा करते-करते हम एक-एक वीडियो आगे बढ़ते जाएंगे एक-एक वीडियो ए जाएगा आप भी मेरे साथ प्रैक्टिस करिए मैं भी आपके साथ प्रैक्टिस करता हूं मैं भी थोड़ा सिख रहा हूं आप भी सिख के चले जाइए एक साथ मिलकर घोड़े से आपको क्या करना है जैसे मेरा गोंडी लर्निंग का वीडियो आता है उसको बढ़िया से देखना है जो भी स्क्रीन पे आता है उसका स्क्रीनशॉट मार के रख देना है स्क्रीनशॉट नहीं मारते हो तो मैं किसी वीडियो में कोई पीएफ भी उपलब्ध कर के दे दूंगा आपको पीएफ जाके सिंपल में फ्री में डाउनलोड करना है उसको मोबाइल में रखना है जब टाइम मिलता है तब अब उसको लर्न करना है लेकिन एक बात याद रखिए कोई भी भाषा तब बोली जाति है जब उसके शब्दार्थ हमें ज्यादा मंत्र में पता कहां क्यों कैसे इन शब्दों को क्या बोलते हैं अगर ये समझ में आया तो मैं भी थोड़ा सा हिंदी लोगों में जाके ये कौन सा है गोल्डी भाषा उतनी भी कठिन नहीं जितनी आपको दिखती है अगर आपको के कौन सा किस लिए ऐसे जो शब्द है इसको अगर जमा किया जाए थोड़ा सा वर्ब को लाया जाए तो आप बोल सकते हो भले आपके बीच वाला शब्द गुड्डी का पता ही नहीं हो लेकिन शुरू से अंत में आप उसको कंप्लीट तो कर सकते हैं इसका नाम क्या है यह कैसे होता है मैं खाना अगर खाने में क्या बोलते यह नहीं पता तो खाना ही बोल दो लेकिन ट्राई तो करो किसी शब्द को बोलने के लिए ट्राई करेंगे और इस वीडियो को देखने वाला मेरे सीरीज के साथ जुड़ने वाला एक आदमी पहले ही ध्यान रखिए इसमें कोई एंटरटेनमेंट नहीं मिलेगा गुड नहीं सिखाई जाएगी मेरी जैसा मैं बोलना हूं मेरी शैली में शिकायत ए जाएगी हो सकता है कोई टीचर से कहता है वैसे नहीं सिखाऊंगा मैं अपनी तरीके से कहूंगा और जो भी मैं बताता हूं वो दिमाग लगा के शांति से अकेले में बैठ के वीडियो देखना है उसको समझना है उसे शब्दों को रात लेना है दिमाग में दाल देना और फिर उनको कहानी पर लिखकर अपने सामने रखना है जब तक मेरा दूसरा वीडियो नहीं आता तब तक तो इस वीडियो में हम सबसे पहले गिनती सिख लेंगे यार देखिए बहुत लोगों का मानना यह है की गोल्ड की गिनती कहां तक है आप कहां तक कर सकते हैं बताइए 10 तक 30 तक 100 तक 1000 तक 10000 तक लाख तक करोड़ तक जी हां गोल्डी अब जो तक है तो चलिए जानते हैं सीधा मैं आपको 1234 जो हम बच्चों को शिखा रहे हैं आज हम सीखेंगे बंदे यानी पांच सरंगिया ने 7 अरुण 10 यह हो गए गोंडी के दस्तक की गिनती तो आज सिंपल से इस वीडियो में आपको यही करना है रूम अरुण [संगीत] अभी आपको एक बात और बता डन इसके खासियत है किसी भी शब्द के सामने यह जो आंकड़े ए रहे हैं मालूम सही उम्र लास्ट में जो जी ए रहा है ये अगर ग जाता है तो यह एक सिंगल संख्या हो जाति है लेकिन इसका ग है जाता है तो फिर यह डबल हो जाति है उदाहरण के तोर पर दो को रैंड बोलते हैं लेकिन 20 को अगर बोलना है तो रांडू हो जाएगा अभी यह सब चीज आपको मैंने आज सिखाई हैं जो की चार्ट आपको दिखे रहा है उसे चार्ट को स्क्रीनशॉट मेरी है और उसको अपने मोबाइल में रखिए और इसको याद करिए रनमूल नानू अरुण अरुण उपाध्याय दस्त हो गया फिर वहां से 20 30 40 50 60 और 100 तक 100 को नूर बोल देते हैं तो ये आपको बिल्कुल कंफ्यूज नहीं होना है पहले एक से 10 को समझना है संयम सरूण करूंगी इस शब्द को समझ लेंगे तो आपको फिर 20-30 निकालना कोई बड़ी बात नहीं है फिर वो निकाल जाएगा ना आलू नारू ऐसे करके वो चला जाएगा उसके बाद हम धीरे-धीरे में टॉपिक पर ए जाएंगे लेकिन पहले अगर मैं में कोर्स दे दूंगा तो आप भाग जाएंगे मैं भी भागूंगा इसलिए सोच रहा हूं की चलो थोड़ा थोड़ा करके हम सब लोग सीखने हैं और मजे से सीखने इस गुंडी को लर्न करते अपने बॉडी में डालते अपने दी एन में दाल देते हैं ठीक है इस पूरे वीडियो जो बनाऊंगा इसमें से दो किताब मेरा फेवरेट है पहले तो किताब पहले तो किताब है मेरे फेवरेट लेखक तेरे को मोहतरमाली साहब जी की गुंडी क्रियत और दूसरी किताब है नाखून पीछे जो की हमारे शिवानी जिला के टेकन जी की लिखी हुई किताब है वो भी बहुत बढ़िया किताब है तो इन दो किताब से प्रेरित होकर आपको गुंडी चलाऊंगा अगर कोई बुद्धिजीवी हैं जो की मेरे वीडियो के नीचे कमेंट कर सकते हैं की यहां गलत हो रहा है वहां गलत प्लीज बता दीजिए अगले वीडियो में वो सुधार हो जाएगा आपके भी यहां पे सीखने वालों को जितना चेस है उतना उतना के सीखने वाले बताने वालों का भी कमेंट बहुत ज्यादा यहां पे लिया जाएगा तो सभी को एक ही विनंती है चलो सब मिलकर इस भाषा को अपने डीएनए में डालते हैं यार इसको कोई पैसा नहीं है कुछ नहीं लगेगा आप सिर्फ मेरा वीडियो देखते रहिए मैं भी आपको शिखा दे रहूंगा आपके साथ सीखने रहूंगा और जैसे हमारा थोड़ा सा कोर्स बड़ा होते जाएंगे मैं आप सभी को बताऊंगा कहां मिलने वाला हूं फिर जब मिलेंगे तब गोंडी में बात करेंगे क्योंकि सीनरी आदमी के पास जाएंगे तो हंसेगा तो अपन सब लोग एक दूसरे के साथ बात करेंगे और चैनल को प्रमोट करते रहिए मेरे पुराने जो वीडियो है आपका नॉलेज बढ़ेगा वो वीडियो देख कर ही अपने लोगों को बताते रहिए चैनल क्या है मिलते हैं तब तक के लिए जय सेवा जय हो,https://www.youtube.com/watch?v=lsmBF1tHY00,devanagari_gondi,2c4255f4a796f057,,2026-09-11T06:11:25Z
telegram,Gondwana Papers,2022-05-18,"Hey Guys, exam is near..... Try old question papers and follow patterns... Just whatsapp me : 7264860307 for old question papers. Don't worry every question papers in Gondwana University we can provide except MCQ papers.",https://t.me/gondwana_papers/12,possible_gondi,9548695f4272aa18,,2026-09-11T06:11:27Z
